Seleccionado,seller-sku,notas,asin1,item-name,item-description,listing-id,price,quantity,open-date,product-id-type,item-note,item-condition,will-ship-internationally,expedited-shipping,product-id,pending-quantity,fulfillment-channel,business price,quantity price type,quantity lower bound 1,quantity price 1,quantity lower bound 2,quantity price 2,quantity lower bound 3,quantity price 3,quantity lower bound 4,quantity price 4,quantity lower bound 5,quantity price 5,optional-payment-type-exclusion,scheduled-delivery-sku-set,merchant-shipping-group,standard-price-point,producttaxcode,vatexclusiveprice,vatexclusivebusinessprice,vatexclusivequantityprice1,vatexclusivequantityprice2,vatexclusivequantityprice3,vatexclusivequantityprice4,vatexclusivequantityprice5,status,minimum-seller-allowed-price,maximum-seller-allowed-price,progressive price type,progressive lower bound 1,progressive price 1,progressive lower bound 2,progressive price 2,progressive lower bound 3,progressive price 3,minimum order quantity,sell remainder,estado
true,A90_EU01_008380,,B0GNMZKC4X,"Cecotec Aspiradora de Mano - Motor Digital Conga Rockstar Micro Essential. 90W, Poder de Succión 13kPa, Autonomía 40mins, 2 Modos de Potencia, Accesorio 2en1, Accesorio Tapicerías y Base de Autocarga","Aspiradora de mano Conga Rockstar Micro Essential con motor Digital Brushless de 90 W y 13 kPa de poder de succión. Autonomía de hasta 40 minutos. Dos modos de potencia. Con accesorio 2en1, accesorio de tapicerías y base de autocargado.",0216H6PWW5O,129,792,16/02/2026 15:54:09 MET,4,,11,,,8447562132237,0,DEFAULT,,,,,,,,,,,,,,,Lanzamientos,,,,,,,,,,Active,,,,,,,,,,,,Fotos Rodaje SIN texto
false,112,REF. INCORRECTA - 00119 es la CORRECTA,B0BQ1KDL4W,"Cecotec Cafetera Italiana Piccolina 400 Red, Capacidad 200 ml para 4 tazas, Diseño elegante en Acero, Filtro de Acero Inoxidable, Apta para todas las superficies, Válvula de seguridad, Cierre silicona",Cafetera italiana fabricada en acero inoxidable de alta calidad ideal para 4 tazas de café.,1031BF54FJU,11.9,0,31/10/2024 15:56:43 MET,4,,11,,,8435484001120,0,DEFAULT,9.9,,,,,,,,,,,,,,Sin tarifa,,,,,,,,,,Inactive,9.9,13.9,,,,,,,,,,Carrusel Enriquecidas
false,3989,RW 03988,B0BPZWQS46,"Cecotec Batidora de Vaso Individual Power Titanium Fresh&Go. 650W, Cuchilla 4 hojas con Recubrimiento de Titanio Negro, Incluye 2 Tubos Refrigeradores y 2 Vasos Resistentes de 600ml",Batidora de vaso individual power titanium fresh&go,0901F5Q8JXE,44.9,0,01/09/2025 11:44:48 MEST,4,,11,,,8435484039895,0,DEFAULT,43.9,,,,,,,,,,,,,,Descatalogados o bloqueados,,,,,,,,,,Inactive,43.9,45.9,,,,,,,,,,Carrusel Enriquecidas
false,7149,Exclusivo ELVACRIS,B0BQ1CSXGL,"Cecotec Bicicleta Estática Indoor con Volante de Inercia de 10Kg DrumFit Indoor Teseo. Resistencia Manual, Monitor LCD, Transmisión por Correa, Soporte de Dispositivos, Botella y Portabotellas","Bicicleta indoor con volante de inercia de 10 kg, resistencia manual, monitor LCD, soporte de dispositivos, botella y portabotellas.",0509F9B2V00,155.9,0,09/05/2025 14:27:14 MEST,4,,11,,,8435484071499,0,DEFAULT,154.9,,,,,,,,,,,,,,FBM NO HB,,,,,,,,,,Inactive,154.9,156.9,,,,,,,,,,Lanzamiento Completo
true,A01_EU01_123445,,B0GJTNKQLB,"Cecotec Ventilador de Techo con Luz con Aspas Retráctiles EnergySilence Aero 300 Air Invisible. 30W, Motor DC, Mando a Distancia, 6 Velocidades, Temporizador 4h, Función Winter-Summer","Ventilador de techo con 3 aspas retráctiles, con motor DC de 30 W, iluminación LED, temporizador hasta 4 horas, función winter-summer, 6 velocidades, mando a distancia.",0126HDDSSUV,69.9,0,26/01/2026 16:32:41 MET,4,,11,,,8447562134705,0,DEFAULT,68.9,,,,,,,,,,,,,,PRIME SFP,,,,,,,,,,Inactive,68.9,70.9,,,,,,,,,,Completo con Texto
true,A01_EU01_123447,,B0GJTCP6KG,"Cecotec Ventilador de Techo con Luz EnergySilence LampAero 770 LightDesign. 25W, Motor DC, 3 Aspas, Luz LED Regulable, Mando a Distancia, Temporizador, 6 Velocidades, Función Verano/Invierno","Ventilador de techo con luz con motor DC de 25 W, luz LED regulable, mando a distancia, temporizador y 6 velocidades.",0126HDI8XLQ,179,0,26/01/2026 16:32:41 MET,4,,11,,,8447562134729,0,DEFAULT,178.0,,,,,,,,,,,,,,PRIME SFP,,,,,,,,,,Inactive,178.0,180.0,,,,,,,,,,Completo con Texto
true,A01_EU01_123780,,B0GJTC8K67,"Cecotec Aire Acondicionado Portátil con Bomba de Calor y Wifi ForceClima 12600 Nux Heating Connected. 12000BTU, Mando a Distancia, Pantalla Táctil, 5 Modos, 3 Velocidades, Temporizador, 28-30m²",Aire acondicionado portátil de 12000 BTU con bomba de calor y control por Wi-Fi. Incluye mando a distancia.,0126HDA9GAZ,489.9,0,26/01/2026 16:32:41 MET,4,,11,,,8447562155496,0,DEFAULT,488.9,,,,,,,,,,,,,,PRIME SFP,,,,,,,,,,Inactive,488.9,490.9,,,,,,,,,,Completo con Texto
true,A01_EU01_125321,,B0GJTGFV6Y,"Cecotec Ventilador de Techo con Luz con Aspas Retráctiles EnergySilence Aero 300 Air Invisible Black. 30W, Motor DC, Mando a Distancia, 6 Velocidades, Temporizador 4h, Función Winter-Summer","Ventilador de techo con 3 aspas retráctiles, con motor DC de 30 W, iluminación LED, temporizador hasta 4 horas, función winter-summer, 6 velocidades, mando a distancia.",0126HDECYQF,67.9,0,26/01/2026 16:32:41 MET,4,,11,,,8447562203371,0,DEFAULT,66.9,,,,,,,,,,,,,,PRIME SFP,,,,,,,,,,Inactive,66.9,68.9,,,,,,,,,,Completo con Texto
true,A01_EU01_125322,,B0GJTD1JNP,"Cecotec Ventilador de Techo con Luz con Aspas Retráctiles EnergySilence Aero 300 Air Invisible Silver. 30W, Motor DC, Mando a Distancia, 6 Velocidades, Temporizador 4h, Función Winter-Summer","Ventilador de techo con 3 aspas retráctiles, con motor DC de 30 W, iluminación LED, temporizador hasta 4 horas, función winter-summer, 6 velocidades, mando a distancia.",0126HD36U17,72.9,0,26/01/2026 16:32:41 MET,4,,11,,,8447562203388,0,DEFAULT,71.9,,,,,,,,,,,,,,PRIME SFP,,,,,,,,,,Inactive,71.9,73.9,,,,,,,,,,Completo con Texto
true,A01_EU01_126217,,B0GJTMS939,"Cecotec Ventilador de Techo con Luz con Aspas Retráctiles EnergySilence Aero 4500 Puzzle Invisible White&LightWood. 30W, Motor DC, Diámetro 42"", Luz LED, Mando, Temporizador, Función Verano/Invierno","Ventilador de techo con aspas retráctiles, motor DC de 30 W, diámetro de 42"", luz LED, mando a distancia, temporizador de hasta 4 horas y función verano/invierno.",0126HDA8PD7,99.9,0,26/01/2026 16:32:41 MET,4,,11,,,8447562217842,0,DEFAULT,98.9,,,,,,,,,,,,,,PRIME SFP,,,,,,,,,,Inactive,98.9,100.9,,,,,,,,,,Completo con Texto
